text,Cleanliness,Electrical,Infrastructure,Safety-Security,Staff,Catering,Medical,General
there is dirty toilet,1,0,0,0,0,0,0,0
cockroach in coach,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
please help bad smell in washroom,1,0,0,0,0,0,0,0
sir water leaking in toilet,1,0,0,0,0,0,0,0
please help dirty toilet,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
there is water leaking in toilet,1,0,0,0,0,0,0,0
please help garbage on floor,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
complaint regarding bad smell in washroom,1,0,0,0,0,0,0,0
facing problem: dirty toilet,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
complaint regarding bad smell in washroom,1,0,0,0,0,0,0,0
please help water leaking in toilet,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
cockroach in coach urgently,1,0,0,0,0,0,0,0
sir bad smell in washroom,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
sir bad smell in washroom,1,0,0,0,0,0,0,0
there is garbage on floor,1,0,0,0,0,0,0,0
facing problem: dirty toilet,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
garbage on floor urgently,1,0,0,0,0,0,0,0
sir cockroach in coach,1,0,0,0,0,0,0,0
coach very dirty urgently,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
water leaking in toilet in my coach,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
garbage on floor,1,0,0,0,0,0,0,0
complaint regarding water leaking in toilet,1,0,0,0,0,0,0,0
dirty toilet in my coach,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
sir bad smell in washroom,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
coach very dirty in my coach,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
sir water leaking in toilet,1,0,0,0,0,0,0,0
dirty toilet urgently,1,0,0,0,0,0,0,0
there is water leaking in toilet,1,0,0,0,0,0,0,0
dirty toilet in my coach,1,0,0,0,0,0,0,0
please help water leaking in toilet,1,0,0,0,0,0,0,0
please help garbage on floor,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
bad smell in washroom,1,0,0,0,0,0,0,0
complaint regarding dirty toilet,1,0,0,0,0,0,0,0
cockroach in coach urgently,1,0,0,0,0,0,0,0
complaint regarding dirty toilet,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
cockroach in coach in my coach,1,0,0,0,0,0,0,0
cockroach in coach in my coach,1,0,0,0,0,0,0,0
facing problem: coach very dirty,1,0,0,0,0,0,0,0
coach very dirty in my coach,1,0,0,0,0,0,0,0
bad smell in washroom,1,0,0,0,0,0,0,0
facing problem: garbage on floor,1,0,0,0,0,0,0,0
sir garbage on floor,1,0,0,0,0,0,0,0
cockroach in coach in my coach,1,0,0,0,0,0,0,0
water leaking in toilet in my coach,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
complaint regarding coach very dirty,1,0,0,0,0,0,0,0
sir cockroach in coach,1,0,0,0,0,0,0,0
cockroach in coach,1,0,0,0,0,0,0,0
facing problem: coach very dirty,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
sir water leaking in toilet,1,0,0,0,0,0,0,0
dirty toilet urgently,1,0,0,0,0,0,0,0
cockroach in coach in my coach,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
facing problem: dirty toilet,1,0,0,0,0,0,0,0
cockroach in coach in my coach,1,0,0,0,0,0,0,0
bad smell in washroom urgently,1,0,0,0,0,0,0,0
please help dirty toilet,1,0,0,0,0,0,0,0
complaint regarding coach very dirty,1,0,0,0,0,0,0,0
facing problem: garbage on floor,1,0,0,0,0,0,0,0
sir coach very dirty,1,0,0,0,0,0,0,0
please help dirty toilet,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
cockroach in coach,1,0,0,0,0,0,0,0
garbage on floor in my coach,1,0,0,0,0,0,0,0
sir water leaking in toilet,1,0,0,0,0,0,0,0
there is garbage on floor,1,0,0,0,0,0,0,0
sir coach very dirty,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
facing problem: cockroach in coach,1,0,0,0,0,0,0,0
please help cockroach in coach,1,0,0,0,0,0,0,0
there is water leaking in toilet,1,0,0,0,0,0,0,0
please help coach very dirty,1,0,0,0,0,0,0,0
complaint regarding water leaking in toilet,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
facing problem: cockroach in coach,1,0,0,0,0,0,0,0
please help water leaking in toilet,1,0,0,0,0,0,0,0
garbage on floor urgently,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
garbage on floor,1,0,0,0,0,0,0,0
water leaking in toilet urgently,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
cockroach in coach,1,0,0,0,0,0,0,0
complaint regarding coach very dirty,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
sir water leaking in toilet,1,0,0,0,0,0,0,0
water leaking in toilet,1,0,0,0,0,0,0,0
there is water leaking in toilet,1,0,0,0,0,0,0,0
garbage on floor in my coach,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
water leaking in toilet in my coach,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
there is cockroach in coach,1,0,0,0,0,0,0,0
water leaking in toilet urgently,1,0,0,0,0,0,0,0
sir dirty toilet,1,0,0,0,0,0,0,0
bad smell in washroom urgently,1,0,0,0,0,0,0,0
please help bad smell in washroom,1,0,0,0,0,0,0,0
there is dirty toilet,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
complaint regarding bad smell in washroom,1,0,0,0,0,0,0,0
dirty toilet urgently,1,0,0,0,0,0,0,0
sir coach very dirty,1,0,0,0,0,0,0,0
please help cockroach in coach,1,0,0,0,0,0,0,0
sir garbage on floor,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
garbage on floor,1,0,0,0,0,0,0,0
please help water leaking in toilet,1,0,0,0,0,0,0,0
coach very dirty in my coach,1,0,0,0,0,0,0,0
there is dirty toilet,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
please help coach very dirty,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
bad smell in washroom,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
sir bad smell in washroom,1,0,0,0,0,0,0,0
garbage on floor urgently,1,0,0,0,0,0,0,0
dirty toilet in my coach,1,0,0,0,0,0,0,0
sir garbage on floor,1,0,0,0,0,0,0,0
bad smell in washroom urgently,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
facing problem: coach very dirty,1,0,0,0,0,0,0,0
facing problem: cockroach in coach,1,0,0,0,0,0,0,0
bad smell in washroom,1,0,0,0,0,0,0,0
garbage on floor in my coach,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
facing problem: coach very dirty,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
garbage on floor,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
complaint regarding bad smell in washroom,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
garbage on floor in my coach,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
garbage on floor,1,0,0,0,0,0,0,0
please help garbage on floor,1,0,0,0,0,0,0,0
there is garbage on floor,1,0,0,0,0,0,0,0
sir cockroach in coach,1,0,0,0,0,0,0,0
bad smell in washroom urgently,1,0,0,0,0,0,0,0
water leaking in toilet urgently,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
sir garbage on floor,1,0,0,0,0,0,0,0
please help garbage on floor,1,0,0,0,0,0,0,0
dirty toilet urgently,1,0,0,0,0,0,0,0
there is dirty toilet,1,0,0,0,0,0,0,0
dirty toilet in my coach,1,0,0,0,0,0,0,0
sir cockroach in coach,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
dirty toilet in my coach,1,0,0,0,0,0,0,0
bad smell in washroom in my coach,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
there is garbage on floor,1,0,0,0,0,0,0,0
please help dirty toilet,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
sir dirty toilet,1,0,0,0,0,0,0,0
please help bad smell in washroom,1,0,0,0,0,0,0,0
water leaking in toilet in my coach,1,0,0,0,0,0,0,0
sir water leaking in toilet,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
sir garbage on floor,1,0,0,0,0,0,0,0
facing problem: coach very dirty,1,0,0,0,0,0,0,0
there is bad smell in washroom,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
facing problem: coach very dirty,1,0,0,0,0,0,0,0
complaint regarding cockroach in coach,1,0,0,0,0,0,0,0
coach very dirty in my coach,1,0,0,0,0,0,0,0
complaint regarding garbage on floor,1,0,0,0,0,0,0,0
complaint regarding dirty toilet,1,0,0,0,0,0,0,0
please help water leaking in toilet,1,0,0,0,0,0,0,0
please help cockroach in coach,1,0,0,0,0,0,0,0
sir garbage on floor,1,0,0,0,0,0,0,0
please help bad smell in washroom,1,0,0,0,0,0,0,0
bad smell in washroom,1,0,0,0,0,0,0,0
complaint regarding bad smell in washroom,1,0,0,0,0,0,0,0
sir coach very dirty,1,0,0,0,0,0,0,0
garbage on floor urgently,1,0,0,0,0,0,0,0
there is garbage on floor,1,0,0,0,0,0,0,0
complaint regarding water leaking in toilet,1,0,0,0,0,0,0,0
sir garbage on floor,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
facing problem: dirty toilet,1,0,0,0,0,0,0,0
water leaking in toilet urgently,1,0,0,0,0,0,0,0
please help garbage on floor,1,0,0,0,0,0,0,0
please help water leaking in toilet,1,0,0,0,0,0,0,0
coach very dirty,1,0,0,0,0,0,0,0
cockroach in coach,1,0,0,0,0,0,0,0
sir coach very dirty,1,0,0,0,0,0,0,0
coach very dirty urgently,1,0,0,0,0,0,0,0
facing problem: water leaking in toilet,1,0,0,0,0,0,0,0
please help cockroach in coach,1,0,0,0,0,0,0,0
facing problem: bad smell in washroom,1,0,0,0,0,0,0,0
water leaking in toilet urgently,1,0,0,0,0,0,0,0
there is coach very dirty,1,0,0,0,0,0,0,0
sir water leaking in toilet,1,0,0,0,0,0,0,0
coach very dirty urgently,1,0,0,0,0,0,0,0
complaint regarding coach very dirty,1,0,0,0,0,0,0,0
garbage on floor in my coach,1,0,0,0,0,0,0,0
complaint regarding light fused,0,1,0,0,0,0,0,0
AC not working urgently,0,1,0,0,0,0,0,0
facing problem: light fused,0,1,0,0,0,0,0,0
complaint regarding charging socket not working,0,1,0,0,0,0,0,0
there is charging socket not working,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
facing problem: light fused,0,1,0,0,0,0,0,0
AC not working,0,1,0,0,0,0,0,0
please help charging socket not working,0,1,0,0,0,0,0,0
no electricity in coach urgently,0,1,0,0,0,0,0,0
sir short circuit,0,1,0,0,0,0,0,0
no electricity in coach,0,1,0,0,0,0,0,0
short circuit in my coach,0,1,0,0,0,0,0,0
complaint regarding short circuit,0,1,0,0,0,0,0,0
charging socket not working urgently,0,1,0,0,0,0,0,0
sir AC not working,0,1,0,0,0,0,0,0
facing problem: light fused,0,1,0,0,0,0,0,0
AC not working in my coach,0,1,0,0,0,0,0,0
facing problem: charging socket not working,0,1,0,0,0,0,0,0
facing problem: fan not running,0,1,0,0,0,0,0,0
charging socket not working,0,1,0,0,0,0,0,0
sir AC not working,0,1,0,0,0,0,0,0
charging socket not working urgently,0,1,0,0,0,0,0,0
facing problem: fan not running,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
short circuit urgently,0,1,0,0,0,0,0,0
facing problem: no electricity in coach,0,1,0,0,0,0,0,0
facing problem: no electricity in coach,0,1,0,0,0,0,0,0
charging socket not working urgently,0,1,0,0,0,0,0,0
sir short circuit,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
no electricity in coach in my coach,0,1,0,0,0,0,0,0
please help AC not working,0,1,0,0,0,0,0,0
complaint regarding light fused,0,1,0,0,0,0,0,0
sir light fused,0,1,0,0,0,0,0,0
charging socket not working in my coach,0,1,0,0,0,0,0,0
no electricity in coach in my coach,0,1,0,0,0,0,0,0
sir AC not working,0,1,0,0,0,0,0,0
complaint regarding AC not working,0,1,0,0,0,0,0,0
there is AC not working,0,1,0,0,0,0,0,0
there is short circuit,0,1,0,0,0,0,0,0
charging socket not working urgently,0,1,0,0,0,0,0,0
sir light fused,0,1,0,0,0,0,0,0
facing problem: fan not running,0,1,0,0,0,0,0,0
complaint regarding light fused,0,1,0,0,0,0,0,0
fan not running urgently,0,1,0,0,0,0,0,0
AC not working urgently,0,1,0,0,0,0,0,0
short circuit in my coach,0,1,0,0,0,0,0,0
no electricity in coach,0,1,0,0,0,0,0,0
charging socket not working,0,1,0,0,0,0,0,0
sir light fused,0,1,0,0,0,0,0,0
there is fan not running,0,1,0,0,0,0,0,0
facing problem: fan not running,0,1,0,0,0,0,0,0
sir short circuit,0,1,0,0,0,0,0,0
no electricity in coach urgently,0,1,0,0,0,0,0,0
facing problem: fan not running,0,1,0,0,0,0,0,0
please help light fused,0,1,0,0,0,0,0,0
there is fan not running,0,1,0,0,0,0,0,0
please help AC not working,0,1,0,0,0,0,0,0
charging socket not working in my coach,0,1,0,0,0,0,0,0
light fused in my coach,0,1,0,0,0,0,0,0
facing problem: no electricity in coach,0,1,0,0,0,0,0,0
sir AC not working,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
fan not running,0,1,0,0,0,0,0,0
facing problem: AC not working,0,1,0,0,0,0,0,0
there is short circuit,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
facing problem: AC not working,0,1,0,0,0,0,0,0
complaint regarding AC not working,0,1,0,0,0,0,0,0
light fused urgently,0,1,0,0,0,0,0,0
AC not working in my coach,0,1,0,0,0,0,0,0
sir charging socket not working,0,1,0,0,0,0,0,0
light fused urgently,0,1,0,0,0,0,0,0
there is charging socket not working,0,1,0,0,0,0,0,0
short circuit in my coach,0,1,0,0,0,0,0,0
charging socket not working urgently,0,1,0,0,0,0,0,0
fan not running in my coach,0,1,0,0,0,0,0,0
complaint regarding fan not running,0,1,0,0,0,0,0,0
there is fan not running,0,1,0,0,0,0,0,0
complaint regarding light fused,0,1,0,0,0,0,0,0
there is light fused,0,1,0,0,0,0,0,0
AC not working urgently,0,1,0,0,0,0,0,0
AC not working in my coach,0,1,0,0,0,0,0,0
facing problem: fan not running,0,1,0,0,0,0,0,0
fan not running,0,1,0,0,0,0,0,0
please help fan not running,0,1,0,0,0,0,0,0
fan not running urgently,0,1,0,0,0,0,0,0
complaint regarding light fused,0,1,0,0,0,0,0,0
no electricity in coach,0,1,0,0,0,0,0,0
there is charging socket not working,0,1,0,0,0,0,0,0
sir charging socket not working,0,1,0,0,0,0,0,0
please help light fused,0,1,0,0,0,0,0,0
short circuit urgently,0,1,0,0,0,0,0,0
there is AC not working,0,1,0,0,0,0,0,0
there is light fused,0,1,0,0,0,0,0,0
please help light fused,0,1,0,0,0,0,0,0
light fused urgently,0,1,0,0,0,0,0,0
light fused in my coach,0,1,0,0,0,0,0,0
light fused in my coach,0,1,0,0,0,0,0,0
AC not working,0,1,0,0,0,0,0,0
complaint regarding short circuit,0,1,0,0,0,0,0,0
sir light fused,0,1,0,0,0,0,0,0
complaint regarding fan not running,0,1,0,0,0,0,0,0
no electricity in coach urgently,0,1,0,0,0,0,0,0
light fused urgently,0,1,0,0,0,0,0,0
please help AC not working,0,1,0,0,0,0,0,0
sir short circuit,0,1,0,0,0,0,0,0
there is fan not running,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
sir AC not working,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
sir no electricity in coach,0,1,0,0,0,0,0,0
please help AC not working,0,1,0,0,0,0,0,0
please help AC not working,0,1,0,0,0,0,0,0
fan not running,0,1,0,0,0,0,0,0
please help light fused,0,1,0,0,0,0,0,0
sir light fused,0,1,0,0,0,0,0,0
charging socket not working,0,1,0,0,0,0,0,0
sir short circuit,0,1,0,0,0,0,0,0
complaint regarding charging socket not working,0,1,0,0,0,0,0,0
complaint regarding AC not working,0,1,0,0,0,0,0,0
light fused urgently,0,1,0,0,0,0,0,0
there is charging socket not working,0,1,0,0,0,0,0,0
light fused urgently,0,1,0,0,0,0,0,0
there is fan not running,0,1,0,0,0,0,0,0
there is charging socket not working,0,1,0,0,0,0,0,0
sir charging socket not working,0,1,0,0,0,0,0,0
complaint regarding no electricity in coach,0,1,0,0,0,0,0,0
sir fan not running,0,1,0,0,0,0,0,0
complaint regarding AC not working,0,1,0,0,0,0,0,0
no electricity in coach in my coach,0,1,0,0,0,0,0,0
AC not working urgently,0,1,0,0,0,0,0,0
light fused urgently,0,1,0,0,0,0,0,0
charging socket not working urgently,0,1,0,0,0,0,0,0
please help short circuit,0,1,0,0,0,0,0,0
please help AC not working,0,1,0,0,0,0,0,0
facing problem: light fused,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
sir AC not working,0,1,0,0,0,0,0,0
please help short circuit,0,1,0,0,0,0,0,0
facing problem: fan not running,0,1,0,0,0,0,0,0
light fused in my coach,0,1,0,0,0,0,0,0
please help AC not working,0,1,0,0,0,0,0,0
there is short circuit,0,1,0,0,0,0,0,0
fan not running,0,1,0,0,0,0,0,0
sir fan not running,0,1,0,0,0,0,0,0
complaint regarding charging socket not working,0,1,0,0,0,0,0,0
AC not working urgently,0,1,0,0,0,0,0,0
sir light fused,0,1,0,0,0,0,0,0
please help charging socket not working,0,1,0,0,0,0,0,0
please help fan not running,0,1,0,0,0,0,0,0
complaint regarding light fused,0,1,0,0,0,0,0,0
complaint regarding fan not running,0,1,0,0,0,0,0,0
sir charging socket not working,0,1,0,0,0,0,0,0
short circuit urgently,0,1,0,0,0,0,0,0
no electricity in coach,0,1,0,0,0,0,0,0
facing problem: no electricity in coach,0,1,0,0,0,0,0,0
facing problem: short circuit,0,1,0,0,0,0,0,0
charging socket not working in my coach,0,1,0,0,0,0,0,0
AC not working,0,1,0,0,0,0,0,0
please help short circuit,0,1,0,0,0,0,0,0
sir no electricity in coach,0,1,0,0,0,0,0,0
sir no electricity in coach,0,1,0,0,0,0,0,0
AC not working,0,1,0,0,0,0,0,0
complaint regarding light fused,0,1,0,0,0,0,0,0
fan not running urgently,0,1,0,0,0,0,0,0
sir charging socket not working,0,1,0,0,0,0,0,0
sir short circuit,0,1,0,0,0,0,0,0
facing problem: no electricity in coach,0,1,0,0,0,0,0,0
sir no electricity in coach,0,1,0,0,0,0,0,0
complaint regarding fan not running,0,1,0,0,0,0,0,0
short circuit in my coach,0,1,0,0,0,0,0,0
complaint regarding AC not working,0,1,0,0,0,0,0,0
facing problem: light fused,0,1,0,0,0,0,0,0
there is short circuit,0,1,0,0,0,0,0,0
there is fan not running,0,1,0,0,0,0,0,0
charging socket not working urgently,0,1,0,0,0,0,0,0
complaint regarding fan not running,0,1,0,0,0,0,0,0
sir no electricity in coach,0,1,0,0,0,0,0,0
please help light fused,0,1,0,0,0,0,0,0
facing problem: fan not running,0,1,0,0,0,0,0,0
